"Description","Results"
"Documents","532"
"Sources (Journals, Books, etc.)","252"
"Keywords Plus (ID)","608"
"Author's Keywords (DE)","1246"
"Period","1998 - 2018"
"Average citations per documents","4.427"
"Authors","1582"
"Author Appearances","1736"
"Authors of single-authored documents","65"
"Authors of multi-authored documents","1517"
"Single-authored documents","67"
"Documents per Author","0.336"
"Authors per Document","2.97"
"Co-Authors per Documents","3.26"
"Collaboration Index","3.26"
"",""
"Document types",""
"ARTICLE","268"
"ARTICLE; PROCEEDINGS PAPER","26"
"CORRECTION","1"
"EDITORIAL MATERIAL","17"
"PROCEEDINGS PAPER","215"
"REVIEW","5"